ID	Sex
HG02716	1
HG02721	0
HG02722	1
HG02724	0
HG02725	1
HG02727	0
HG02728	1
HG02731	1
HG02733	0
HG02734	1
HG02736	0
HG02737	1
HG02756	0
HG02757	1
HG02759	0
HG02760	1
HG02763	1
HG02768	0
HG02769	1
HG02771	0
HG02772	1
HG02774	0
HG02775	1
HG02778	1
HG02780	0
HG02783	0
HG02784	1
HG02786	0
HG02787	1
HG02789	0
HG02790	1
HG02792	0
HG02793	1
HG02798	0
HG02799	1
HG02804	0
HG02805	1
HG02807	0
HG02808	1
HG02810	0
HG02811	1
HG02813	0
HG02814	1
HG02816	0
HG02817	1
HG02819	0
HG02820	1
HG02836	0
HG02837	1
HG02839	0
HG02840	1
HG02851	0
HG02852	1
HG02854	0
HG02855	1
HG02860	0
HG02861	1
HG02870	1
HG02878	0
HG02879	1
HG02881	0
HG02882	1
HG02884	0
HG02885	1
HG02887	0
HG02888	1
HG02890	0
HG02891	1
HG02895	0
HG02896	1
HG02922	1
HG02923	0
HG02938	0
HG02941	0
HG02943	1
HG02944	0
HG02946	1
HG02947	0
HG02952	1
HG02953	0
HG02968	0
HG02970	1
HG02971	0
HG02973	0
HG02974	1
HG02976	1
HG02977	0
HG02979	1
HG02981	0
HG02982	0
HG02983	1
HG03006	0
HG03007	1
HG03009	0
HG03012	0
HG03015	0
HG03016	1
HG03018	0
HG03019	1
HG03021	0
HG03022	1
HG03024	0
HG03025	1
HG03027	0
HG03028	1
HG03039	0
HG03040	1
HG03045	0
HG03046	1
HG03048	0
HG03049	1
HG03052	1
HG03054	0
HG03055	1
HG03057	0
HG03058	1
HG03060	0
HG03061	1
HG03063	0
HG03064	1
HG03066	0
HG03069	0
HG03072	0
HG03073	1
HG03074	0
HG03077	0
HG03078	0
HG03079	1
HG03081	0
HG03082	1
HG03084	0
HG03085	1
HG03086	1
HG03088	1
HG03091	1
HG03095	1
HG03096	0
HG03097	1
HG03099	1
HG03100	0
HG03103	0
HG03105	1
HG03108	1
HG03109	0
HG03111	1
HG03112	0
HG03114	1
HG03115	0
HG03117	1
HG03118	0
HG03120	0
HG03121	1
HG03123	1
HG03124	0
HG03126	1
HG03127	0
HG03129	1
HG03130	0
HG03132	1
HG03133	0
HG03135	1
HG03136	0
HG03139	0
HG03157	0
HG03159	1
HG03160	0
HG03162	1
HG03163	0
HG03166	0
HG03168	1
HG03169	0
HG03172	0
HG03175	0
HG03189	1
HG03190	0
HG03193	0
HG03195	1
HG03196	0
HG03198	1
HG03199	0
HG03202	0
HG03209	0
HG03212	1
HG03224	0
HG03225	0
HG03228	0
HG03229	1
HG03234	0
HG03235	1
HG03237	0
HG03238	1
HG03240	0
HG03241	1
HG03246	0
HG03247	1
HG03258	0
HG03259	1
HG03265	0
HG03267	1
HG03268	0
HG03270	1
HG03271	0
HG03279	1
HG03280	0
HG03291	1
HG03294	1
HG03295	0
HG03297	1
HG03298	0
HG03300	1
HG03301	0
HG03303	1
HG03304	0
HG03311	0
HG03313	0
HG03342	1
HG03343	0
HG03351	1
HG03352	0
HG03354	1
HG03363	1
HG03366	1
HG03367	0
HG03369	1
HG03370	0
HG03372	1
HG03376	0
HG03378	1
HG03380	1
HG03382	0
HG03385	0
HG03388	0
HG03391	0
HG03394	0
HG03397	0
HG03401	1
HG03410	1
HG03419	1
HG03428	1
HG03432	0
HG03433	0
HG03436	0
HG03437	1
HG03439	0
HG03442	0
HG03445	0
HG03446	1
HG03449	1
HG03451	0
HG03452	1
HG03455	1
HG03457	0
HG03458	1
HG03460	0
HG03461	1
HG03464	1
HG03469	0
HG03470	1
HG03472	0
HG03473	1
HG03476	1
HG03478	0
HG03479	1
HG03484	0
HG03485	1
HG03488	1
HG03490	0
HG03491	1
HG03499	1
HG03511	1
HG03514	1
HG03515	0
HG03517	1
HG03518	0
HG03520	1
HG03521	0
HG03538	0
HG03539	1
HG03547	0
HG03548	1
HG03556	0
HG03557	1
HG03558	1
HG03559	0
HG03563	1
HG03565	0
HG03567	1
HG03571	0
HG03572	1
HG03575	1
HG03577	0
HG03578	1
HG03583	1
HG03585	0
HG03589	1
HG03593	0
HG03594	0
HG03595	1
HG03598	1
HG03600	0
HG03603	0
HG03604	1
HG03607	1
HG03611	1
HG03615	0
HG03616	1
HG03619	1
HG03624	0
HG03625	1
HG03629	0
HG03631	1
HG03634	1
HG03636	0
HG03640	1
HG03642	1
HG03643	1
HG03644	0
HG03645	1
HG03646	0
HG03649	0
HG03652	0
HG03653	1
HG03660	0
HG03663	0
HG03667	0
HG03668	1
HG03672	0
HG03673	1
HG03679	0
HG03680	0
HG03681	0
HG03684	1
HG03685	0
HG03686	0
HG03687	0
HG03689	1
HG03690	1
HG03691	0
HG03692	1
HG03693	0
HG03694	0
HG03695	0
HG03696	0
HG03697	0
HG03698	1
HG03702	0
HG03703	1
HG03705	0
HG03706	1
HG03708	0
HG03709	1
HG03711	0
HG03713	0
HG03714	1
HG03716	0
HG03717	1
HG03718	0
HG03720	0
HG03722	1
HG03727	0
HG03729	0
HG03730	1
HG03731	1
HG03733	1
HG03736	1
HG03738	0
HG03740	0
HG03741	1
HG03742	0
HG03743	0
HG03744	0
HG03745	0
HG03746	0
HG03750	0
HG03752	1
HG03753	0
HG03754	1
HG03755	0
HG03756	1
HG03757	1
HG03760	1
HG03762	1
HG03765	1
HG03767	0
HG03770	1
HG03771	0
HG03772	1
HG03773	0
HG03774	1
HG03775	0
HG03777	0
HG03778	0
HG03779	0
HG03780	1
HG03781	1
